source_id,design_file,logical_path,size_bytes,sha256,authority,version,external_storage_pointer,git_storage,duplicate_of,verified_date
SRC-DES-011,SAQEEL Admin Role Override.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Admin Role Override.dc.html,10979,98827572052bf6157e8fe4710cd6de7d49bc49459dd82aa324d14d159b4f58bd,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-012,SAQEEL Admin SENAI Data.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Admin SENAI Data.dc.html,16212,022f61284e1aef160f917f7ba29d6609793abad4794b4b2c282af327b819846e,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-013,SAQEEL Admin Virtual Premium.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Admin Virtual Premium.dc.html,9732,c9c92409ac52cac2774f9fd5553a1a3a0c689d5f5c04c462ca4a3b0875f2434c,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-014,SAQEEL Admin Workflow Builder.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Admin Workflow Builder.dc.html,12723,36ad28c22b36d9bc9d2841049af609491bccaaaeeed760888bb7a7fc6140f65c,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-015,SAQEEL Admin.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Admin.dc.html,42071,d55f882c7fa83b7a70865de250a16e47e413a2f7742fb5d41233985304d853c3,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-016,SAQEEL Auth States.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Auth States.dc.html,10088,20aad04a20de9a7b489a86db800e6106d94f10abc7423f3fc0c30c9832371f1e,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-017,SAQEEL Cases.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Cases.dc.html,16519,7226c73e7a9d735391bdeb947db408cc79b1a6d0d7f6fd6ae6de61eb47aa7f86,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-018,SAQEEL Committee.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Committee.dc.html,13334,4cc526547a11783b769b1ebe24937d60cf0af10b7c450c40995644a49cd964ae,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-019,SAQEEL Compliance Requests.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Compliance Requests.dc.html,12557,05332be7bf0ed96a70f58507aa183f2f3010adada28938bf70466fa4038fad18,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-020,SAQEEL Control Panel.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Control Panel.dc.html,17009,387114f67318fc3d8d0022b72f711a4b952dce588a66ba5875fd8a5d675125d2,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
