relative_path,absolute_path,file_name,extension,size_bytes,sha256,git_tracked,last_git_commit,category,classification,referenced_by_code,referenced_by_test,referenced_by_ci,referenced_by_governance,move_recommendation,destination_path,reason,status
.claude/hooks/session_end.py,/Users/vikramindla/Documents/GitHub/Inspection/.claude/hooks/session_end.py,session_end.py,.py,771,8e5ca2dcd5722f157f341d50a9616a7c6175512c2ea8a0f8a6abd91a78f248f0,true,46466fbabf0078ee47e11b4d4d27aeff56ea99c4,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/hooks/session_start.py,/Users/vikramindla/Documents/GitHub/Inspection/.claude/hooks/session_start.py,session_start.py,.py,939,f1758b6b28b3148082112823c43ce9441e1294cd560b49106dfc7d7ddfa06f6f,true,46466fbabf0078ee47e11b4d4d27aeff56ea99c4,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/hooks/stop_gate.py,/Users/vikramindla/Documents/GitHub/Inspection/.claude/hooks/stop_gate.py,stop_gate.py,.py,617,c898e3dfb555f4ba7ac109fcb82fbf94de1060020dc5104ca20d23b47406906a,true,46466fbabf0078ee47e11b4d4d27aeff56ea99c4,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/rules/admin.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/rules/admin.md,admin.md,.md,259,35abb3d00eb96c796569f028c8cde9c0194750ded8a9603073904011cebc79af,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/rules/governance.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/rules/governance.md,governance.md,.md,291,a38abf37e8a709152a2be810b8d9cb72c8a1167f7ba5df45dee59ef8a100285a,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/rules/ipad.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/rules/ipad.md,ipad.md,.md,283,c60829b17353a781917af22f1cc9a5320dda6b7cb90c4a360f00884a9d0d8591,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/rules/product-contract.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/rules/product-contract.md,product-contract.md,.md,279,0a8b608d05755edb096c16b01511e57bb2bf2b86aeb24e996a61889e9eec5da1,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/rules/tests.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/rules/tests.md,tests.md,.md,282,4ddb7480368f27be55b98b28a17e2e080fa9c02f48fb9cfcba910d0a0de80d14,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,true,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/rules/web.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/rules/web.md,web.md,.md,291,68e1fbdde521c0cb8b5618514a53ebfde056ff8c4d8b6056cdd2fedaaed2688d,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,true,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/settings.json,/Users/vikramindla/Documents/GitHub/Inspection/.claude/settings.json,settings.json,.json,3075,62fb4ee2296051e5b721c14d69caba3e45571c036748b79b522672d715e94fa8,true,4db2c374998982bbca505976459978b6c9385bac,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,true,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
