file,screen_state,theme,lang,design_width_px,raster_w,raster_h,sha256,captured_at,deterministic_selector
CD-016_SCR-ADM-080_primary_dark_ar_1440.png,CD-016/blocked,dark,ar,1440,924,540,e32ab417ff4eb6a2c554347c972d05dad574184f88ac7dabfcffed2c66f0b93b,2026-07-15T18:15:17.962Z,export.html?sc=cd16&s=blocked&l=ar&t=dark&w=1440
CD-016_SCR-ADM-080_primary_dark_en_1024.png,CD-016/blocked,dark,en,1024,924,540,b1245815ca7fd55dd59250568b92df143cd4d494cdef1c8435210572c03eeefb,2026-07-15T18:15:17.962Z,export.html?sc=cd16&s=blocked&l=en&t=dark&w=1024
CD-016_SCR-ADM-080_primary_dark_en_1440.png,CD-016/blocked,dark,en,1440,924,540,873ff51064fb9e15d7c48096c9788bb5fc8fbc575e3673250abe2ac3f81c9f38,2026-07-15T18:15:17.962Z,export.html?sc=cd16&s=blocked&l=en&t=dark&w=1440
CD-016_SCR-ADM-080_primary_dark_en_412.png,CD-016/blocked,dark,en,412,924,540,edee0d5fc48d5f0c31a9f9061233d4bfdc7962f0c8e5e265ddde2e33c7d8b240,2026-07-15T18:15:17.962Z,export.html?sc=cd16&s=blocked&l=en&t=dark&w=412
CD-016_SCR-ADM-080_primary_light_en_1440.png,CD-016/blocked,light,en,1440,924,540,a8c887556bfc251f2c65c51ed7f6dfebdc3ea5c5b9ad0c1228a71d8c17db2d12,2026-07-15T18:15:17.962Z,export.html?sc=cd16&s=blocked&l=en&t=light&w=1440
CD-017_SCR-ADM-090_outlier_dark_en_1440.png,CD-017/explainer,dark,en,1440,924,540,b1f207e7439969c31c22fc722ab24dc59477a786f3886005464d7c2cc1c785c2,2026-07-15T18:15:17.962Z,export.html?sc=cd17&s=explainer&l=en&t=dark&w=1440
CD-017_SCR-ADM-090_primary_dark_ar_1440.png,CD-017/view,dark,ar,1440,924,540,4ee9f559d15f6f56d678435903b2cfe74676c88567794488cf66e33768200e1d,2026-07-15T18:15:17.962Z,export.html?sc=cd17&s=view&l=ar&t=dark&w=1440
CD-017_SCR-ADM-090_primary_dark_en_1024.png,CD-017/view,dark,en,1024,924,540,6c503f1449e3fd60357cbce0ede76a07fefaa0b4d518a4b6d9c53cd706aaad8d,2026-07-15T18:15:17.962Z,export.html?sc=cd17&s=view&l=en&t=dark&w=1024
CD-017_SCR-ADM-090_primary_dark_en_1440.png,CD-017/view,dark,en,1440,924,540,b1f207e7439969c31c22fc722ab24dc59477a786f3886005464d7c2cc1c785c2,2026-07-15T18:15:17.962Z,export.html?sc=cd17&s=view&l=en&t=dark&w=1440
CD-017_SCR-ADM-090_primary_dark_en_412.png,CD-017/view,dark,en,412,924,540,7d05c2bacc7c6085ac8efee0d91e9904f572db8da86f2767eabcdd542031b282,2026-07-15T18:15:17.962Z,export.html?sc=cd17&s=view&l=en&t=dark&w=412
CD-017_SCR-ADM-090_primary_light_en_1440.png,CD-017/view,light,en,1440,924,540,ec6431bfcb0de77a7116685216d92a0e17d21a423b45fee33563d0a4e20292f5,2026-07-15T18:15:17.962Z,export.html?sc=cd17&s=view&l=en&t=light&w=1440
CD-018_ADM-LOCALIZATION_outlier_dark_en_1440.png,CD-018/source-drift,dark,en,1440,924,540,cd33be000a7900d76c5365a4268ca5872e3f1676282d729d0ec8d80ead15bc60,2026-07-15T18:15:17.962Z,export.html?sc=cd18&s=source-drift&l=en&t=dark&w=1440
CD-018_ADM-LOCALIZATION_primary_dark_ar_1440.png,CD-018/review,dark,ar,1440,924,540,371914126fabf2c58b3364ae12066f73c4569c828e37eee7e18693ba28ef13f0,2026-07-15T18:15:17.962Z,export.html?sc=cd18&s=review&l=ar&t=dark&w=1440
CD-018_ADM-LOCALIZATION_primary_dark_en_1024.png,CD-018/review,dark,en,1024,924,540,9a1832f443135f8b44a70f59fc21e7ca6193d3887bfdd3fda4cdef903c5d3d78,2026-07-15T18:15:17.962Z,export.html?sc=cd18&s=review&l=en&t=dark&w=1024
CD-018_ADM-LOCALIZATION_primary_dark_en_1440.png,CD-018/review,dark,en,1440,924,540,760c84f1dc8c750ddc728949bf3020313b564842451f5150aaa792213d56aa57,2026-07-15T18:15:17.962Z,export.html?sc=cd18&s=review&l=en&t=dark&w=1440
CD-018_ADM-LOCALIZATION_primary_dark_en_412.png,CD-018/review,dark,en,412,924,540,e024f9d554519362107fdd888c01af2c43321e3b85bc2b660c120d2b314fc3d0,2026-07-15T18:15:17.962Z,export.html?sc=cd18&s=review&l=en&t=dark&w=412
CD-018_ADM-LOCALIZATION_primary_light_en_1440.png,CD-018/review,light,en,1440,924,540,e4098490b8b916bf701e1476c08bb432cf4ef725111a776ddb6829bfc137e299,2026-07-15T18:15:17.962Z,export.html?sc=cd18&s=review&l=en&t=light&w=1440
CD-019_ADM-AUDIT_outlier_dark_en_1440.png,CD-019/partial-payload,dark,en,1440,924,540,c037ca44c77b58f6a4d20bb01a31ef2dc363f24dbcd72b856f67f47cc598e5da,2026-07-15T18:15:17.962Z,export.html?sc=cd19&s=partial-payload&l=en&t=dark&w=1440
CD-019_ADM-AUDIT_primary_dark_ar_1440.png,CD-019/stream,dark,ar,1440,924,540,8320fcbb6bf631f25faa6ce43ef7d12de87ef7cab2dcabb532b6f065ad1f1158,2026-07-15T18:15:17.962Z,export.html?sc=cd19&s=stream&l=ar&t=dark&w=1440
CD-019_ADM-AUDIT_primary_dark_en_1024.png,CD-019/stream,dark,en,1024,924,540,078a5cd187e6f01ce2d17dac2cddcba7a6a0f27aa5e342ec6481c4cfb75baf62,2026-07-15T18:15:17.962Z,export.html?sc=cd19&s=stream&l=en&t=dark&w=1024
CD-019_ADM-AUDIT_primary_dark_en_1440.png,CD-019/stream,dark,en,1440,924,540,d9a8018a69a457fcdf524888107ab54d3afa179eb5a2e5599f0ac28b9930471f,2026-07-15T18:15:17.962Z,export.html?sc=cd19&s=stream&l=en&t=dark&w=1440
CD-019_ADM-AUDIT_primary_dark_en_412.png,CD-019/stream,dark,en,412,924,540,c1e1051aa27a6a513b11f2a3bb047a3b7988a05cdd72b78181d7ced7108b4adf,2026-07-15T18:15:17.962Z,export.html?sc=cd19&s=stream&l=en&t=dark&w=412
CD-019_ADM-AUDIT_primary_light_en_1440.png,CD-019/stream,light,en,1440,924,540,dc8a5c0d02377c38e601680db64f4c9654561359f20993bc3b5745e8031f6879,2026-07-15T18:15:17.962Z,export.html?sc=cd19&s=stream&l=en&t=light&w=1440
# HONESTY NOTE: this design environment caps raster capture at the preview pane, so frames are whole-page uncropped scale-to-fit captures of the true-width composition (design_width_px). The deterministic_selector regenerates every frame at NATIVE resolution in any standard browser (open the URL at the stated width and screenshot/print). 412 frames are true 412px compositions, not scaled desktops. In-frame watermark: DESIGN FIXTURE - NOT RUNTIME EVIDENCE.
