file,screen,state_frame,theme,lang,design_width_px,raster_w,raster_h,sha256
CD-012_SCR-ADM-050_outlier.png,CD-012/SCR-ADM-050,outlier,dark,en,1440,924,540,8331f167361de0ff7a95ff5fe29024626bd55a786cee4013195aaa669fc77d3b
CD-012_SCR-ADM-050_primary.png,CD-012/SCR-ADM-050,primary,dark,en,1440,924,540,d45ac8b3e7540e6b6ed99b6db42e2e28b03821b3e6dde77ef0771521d96c1ab6
CD-012_SCR-ADM-050_primary_light_en.png,CD-012/SCR-ADM-050,primary,light,en,1440,924,540,d763bb45c6263a4ffe01f2466f7dac0e9cb11be2dba8c68d608f66caabf785e5
CD-013_SCR-ADM-051_outlier.png,CD-013/SCR-ADM-051,outlier,dark,en,1440,924,540,c590c08edcb6c034c8dcf333d062650ca0fd30b81a2945b297b91675c1fd40be
CD-013_SCR-ADM-051_primary.png,CD-013/SCR-ADM-051,primary,dark,en,1440,924,540,3b6bc5aecba1163de7d18732cf255fb1ce998bf4823ec9584c3ff3afec76d559
CD-013_SCR-ADM-051_primary_dark_ar.png,CD-013/SCR-ADM-051,primary,dark,ar,1440,924,540,bfe7cb4b601bc30b46218e2c0af8402d173e66a09c38f97207a865310d862522
CD-014_SCR-ADM-060_outlier.png,CD-014/SCR-ADM-060,outlier,dark,en,1440,924,540,04d9c3317037f853c26c159ae15fa8a9cadaf2390ca95699ff1929b402ac9377
CD-014_SCR-ADM-060_primary.png,CD-014/SCR-ADM-060,primary,dark,en,1440,924,540,938168fd9269638cad09f9c9ed5954a16fa22f3b74dfccb1927aa285177ba683
CD-014_SCR-ADM-060_primary_light_ar.png,CD-014/SCR-ADM-060,primary,light,ar,1440,924,540,d199396b7a77de8ca6ac425dd71241e9b857fa40e808647f58c7fd4118f79ff3
CD-015_SCR-ADM-070_outlier.png,CD-015/SCR-ADM-070,outlier,dark,en,1440,924,540,0f5bf498e51b34718d8a045a44bb97720fb02cb7cc40d51334b4abf99a74784e
CD-015_SCR-ADM-070_primary.png,CD-015/SCR-ADM-070,primary,dark,en,1440,924,540,51eb9e5a8b1909d50f469966c71e62b1db80b2c7d0d2fad43ac0fe67f1e8c125
CD-015_SCR-ADM-070_primary_dark_en_1024.png,CD-015/SCR-ADM-070,primary,dark,en,1024,924,540,ac132a3169c047c87f5a5ec694dcbde11813660359bb37b46e140e546a55a4b7
CD-016_SCR-ADM-080_outlier.png,CD-016/SCR-ADM-080,outlier,dark,en,1440,924,540,0c3b49d23b59c540666242fe22bca6ee86dfe0bea75eb3b11d0d9e03d29b372b
CD-016_SCR-ADM-080_primary.png,CD-016/SCR-ADM-080,primary,dark,en,1440,924,540,60003a090a1ed2481e2c04100f620d4c0dac3a650111443cc45c43a5ebdf71af
CD-016_SCR-ADM-080_primary_dark_ar.png,CD-016/SCR-ADM-080,primary,dark,ar,1440,924,540,99c95b813cb71b29169762716f8e3107e69a0136566c484ece34c0c53fa50f26
CD-017_SCR-ADM-090_outlier.png,CD-017/SCR-ADM-090,outlier,dark,en,1440,924,540,0f6ce9f33dda8ed230ac7acc9d7827f9f9566339a2caa108a244bd1b5b6d37ed
CD-017_SCR-ADM-090_primary.png,CD-017/SCR-ADM-090,primary,dark,en,1440,924,540,1960ad234aeb93c0b39b9734a0aea571a3b97e0bb7fe5f689a1e02ae5264ee9b
CD-017_SCR-ADM-090_primary_light_en.png,CD-017/SCR-ADM-090,primary,light,en,1440,924,540,96460ab3586308a68163128b610a30a0d3e270864b6e6b8ab5759f85b9385b2b
CD-018_ADM-LOCALIZATION_outlier.png,CD-018/ADM-LOCALIZATION,outlier,dark,en,1440,924,540,99a4bc395a03c29274714a5fef5e8e662ae72302b8115b6273bcd4c1437fb3bb
CD-018_ADM-LOCALIZATION_primary.png,CD-018/ADM-LOCALIZATION,primary,dark,en,1440,924,540,2f0c5442387194f4b95fa0c4744427d6defa7f405d256270c794ef2fa3de1f50
CD-018_ADM-LOCALIZATION_primary_dark_ar_412.png,CD-018/ADM-LOCALIZATION,primary,dark,ar,412,924,540,4af4fa6b40495ae927dcd8dc14e221b3f4eb7c0c4657a1f38b67f55dfe6e9133
CD-019_ADM-AUDIT_outlier.png,CD-019/ADM-AUDIT,outlier,dark,en,1440,924,540,c7f6440684761a299fdb4ae0e1ee315177052a4072de0e536ead4b1236017603
CD-019_ADM-AUDIT_primary.png,CD-019/ADM-AUDIT,primary,dark,en,1440,924,540,59a4522b0cf9dc2e646a21e090956ede1199126b9a3a215b7cbb076057c725fc
CD-019_ADM-AUDIT_primary_dark_ar.png,CD-019/ADM-AUDIT,primary,dark,ar,1440,924,540,997bd7ec1f5af4c64ff176a6468fd828f2ec3186b074f1f77088b716ae55b86f
# Captures are whole-frame, uncropped, scale-to-fit rasters of the native-width design (design_width_px); in-frame watermark: DESIGN FIXTURE - NOT RUNTIME EVIDENCE. Source: export.html + cdm renders.
